time,phonons
2.5937595782445475e-06,"[0.9995926852333877, 0.0004073138860399545, 7.020774007075626e-10, 8.519256040994879e-13]"
2.6176023690329616e-06,"[0.9995849330305678, 0.0004150656066956174, 1.1825557787056963e-09, 8.881457879807939e-13]"
2.641668972867612e-06,"[0.9995774924085747, 0.00042250648394108665, 9.254520134122898e-10, 9.349021905972936e-13]"
2.66513263221633e-06,"[0.9995702092640668, 0.00042978996377073496, 5.886942247959718e-10, 9.5708686236168e-13]"
2.689199243863649e-06,"[0.9995622052985432, 0.00043779346608268163, 1.0500761942122447e-09, 9.82094196049207e-13]"
2.713138560327446e-06,"[0.9995543508907705, 0.00044564769416841, 1.227996429529471e-09, 1.033802575430143e-12]"
2.736750398473827e-06,"[0.9995469178097943, 0.0004530812889290124, 7.126714205284585e-10, 1.0722248321132944e-12]"
2.7607760687150575e-06,"[0.9995389366265958, 0.0004610623757190644, 8.072853330076931e-10, 1.0914728659211217e-12]"
2.7846808216619075e-06,"[0.9995307030484272, 0.00046929541804851654, 1.3413889734203135e-09, 1.1356925910157711e-12]"
2.808724353168798e-06,"[0.999522811560073, 0.0004771872181393827, 1.0278083300887877e-09, 1.1913872262602453e-12]"
2.8322116456378878e-06,"[0.9995150527628482, 0.000484946375400915, 6.6631785501507e-10, 1.2174479476053825e-12]"
2.8562756705319567e-06,"[0.9995065743284794, 0.0004934242749144536, 1.1993398319968165e-09, 1.2479337210395661e-12]"
2.880219079508917e-06,"[0.9994982661030352, 0.0005017323269932355, 1.3709254951455222e-09, 1.309913629376946e-12]"
2.90381080615843e-06,"[0.9994903807437463, 0.0005096182667058323, 7.889668289962401e-10, 1.3549302313435717e-12]"
2.927823169267323e-06,"[0.9994819241307281, 0.000518074744602867, 9.222991783714559e-10, 1.3778380943790953e-12]"
2.9517846151759944e-06,"[0.9994732119500817, 0.0005267863359988887, 1.5097659083261763e-09, 1.431252084558908e-12]"
2.97580500406378e-06,"[0.9994648730130434, 0.0005351256486880184, 1.1322778850903793e-09, 1.4968219440467238e-12]"
2.999318753153488e-06,"[0.9994566382119489, 0.0005433608306030229, 7.499839379060027e-10, 1.5270809179519984e-12]"
3.023379823925218e-06,"[0.9994476884150227, 0.000552310015213867, 1.3604616469456343e-09, 1.5639076396495025e-12]"
3.04733077686322e-06,"[0.9994389282643787, 0.0005610700059164537, 1.5186064982981182e-09, 1.6374342281514449e-12]"
3.070901265230521e-06,"[0.9994305936414689, 0.0005694052783804752, 8.675230680316416e-10, 1.6895544670413615e-12]"
