time,leakage
0.0005102073886941353,0.00028106596570008337
0.0005102275898221224,0.00027596896593900193
0.0005102485464867085,0.00027072755179780814
0.0005102724102066063,0.0002648170722182008
0.0005102963111067055,0.00025895839943394734
0.0005103191843581909,0.0002534087264987319
0.0005103421273885538,0.00024789943286630134
0.0005103659740144598,0.0002422339854609804
0.0005103891839955456,0.00023677850973197965
0.0005104113761252642,0.0002316170715385312
0.0005104353443336501,0.00022610366038063916
0.0005104566644125884,0.00022125220679737232
0.0005104768618328951,0.0002167017637548011
0.000510497776618378,0.00021203713336095072
0.0005105216383340567,0.00020677477177269882
0.0005105455411469002,0.00020156622419342937
0.0005105684127041631,0.0001966412548299264
0.0005105913609903783,0.00019175861695042406
0.0005106152064479378,0.00018674755154894377
0.0005106384230896097,0.00018192913691956702
0.0005106606357265284,0.0001773754944550355
0.0005106846036195875,0.0001725246549569176
0.0005107059382936379,0.00016826103135572732
0.0005107261326123187,0.00016427215748164846
0.0005107470062020193,0.0001601975989277147
0.000510770865902279,0.00015560099314286256
0.0005107947703506009,0.00015106028686730596
0.0005108176398588324,0.00014677658486126136
0.0005108405923884339,0.00014253753769676738
0.0005108644364459068,0.00013819772634555215
0.0005108876595497546,0.00013403301203758237
0.0005109098935118113,0.00013010350673585343
0.0005109338611963329,0.0001259315606162756
0.0005109552089183433,0.00012227122640322635
0.0005109754014691827,0.0001188569606498129
0.0005109962351286795,0.00011538367325983127
0.0005110200928326199,0.00011146820774512091
0.0005110439986594917,0.00010761078305275333
0.0005110668657375804,0.0001039827216791132
0.0005110898214354382,0.00010040196024943421
0.0005111136638407545,9.674799304014768e-05
0.0005111368933654679,9.325138186267227e-05
0.0005111591495263157,8.996033898644867e-05
0.0005111831171214233,8.648132574753478e-05
0.0005112044763771584,8.343758587830557e-05
0.0005112246684507841,8.060914680606383e-05
0.000511245463660322,7.774633264800313e-05
0.0005112693194001767,7.452509386244895e-05
0.0005112932263596792,7.136406658304595e-05
0.0005113160907139767,6.840376279189753e-05
0.0005113390486529518,6.549365636464779e-05
0.0005113628891415194,6.253779046544646e-05
0.0005113861250244722,5.972144012377567e-05
0.000511408403979755,5.708116575074553e-05
0.000511432371603427,5.430679922400929e-05
0.0005114537410047245,5.1890746447957853e-05
0.0005114739337112949,4.965750905938013e-05
0.0005114946920869579,4.7412387098176416e-05
0.0005115185459177234,4.489612051106349e-05
0.0005115424537761035,4.2442238245322685e-05
0.0005115653152008541,4.015952179949949e-05
0.0005115882746182146,3.793008502089856e-05
0.0005116121129309778,3.568220025114262e-05
0.000511635355036582,3.355598354345674e-05
0.0005116576570105062,3.157669619071731e-05
0.0005116816247864595,2.9516324518279423e-05
0.0005117030030286981,2.7736814673430306e-05
0.0005117231973607451,2.6106255203188836e-05
0.0005117439206696633,2.4484062804773197e-05
0.0005117677726962183,2.2681137802637372e-05
0.0005117916812420285,2.0942743736132217e-05
0.0005118145395915085,1.9345136518810032e-05
0.0005118374998711076,1.7804014211811687e-05
0.0005118613358228894,1.6271576011870526e-05
0.0005118845838953137,1.4843040515329844e-05
0.0005119069086281732,1.3532795243745374e-05
0.0005119308767103005,1.219336863736666e-05
0.0005119522625295464,1.1056998359024565e-05
0.0005119724594315984,1.0034653062253553e-05
0.0005119931496169887,9.038655340626223e-06
0.0005120170000560836,7.955040639176964e-06
0.000512040909150249,6.9380455510500665e-06
0.0005120637642903473,6.030745778453434e-06
0.0005120867249142798,5.1832052008949835e-06
0.0005121105586095209,4.371241397558023e-06
0.0005121338122019754,3.6455707920513618e-06
0.0005121561587487334,3.010175082088151e-06
0.0005121801273912312,2.3962242694307936e-06
0.0005122015196342035,1.9073087070331e-06
0.0005122217200228328,1.4967501260904192e-06
0.0005122423791210051,1.1282610715638785e-06
0.0005122662284934429,7.675159529679112e-07
0.0005122901382503212,4.7538525140147424e-07
0.0005123129900437695,2.612529549496143e-07
0.0005123359506181334,1.1017799822279164e-07
0.0005123597831212968,2.129686667938426e-08
0.0005123830414206471,1.2717747554341299e-09
0.0005124054075538245,4.417841137165694e-08
0.000512429377449693,1.5781453273932303e-07
0.0005124507757554314,3.183913493174428e-07
0.0005124709799908616,5.212103591398195e-07
0.0005124916096124189,7.796026129464257e-07
0.0005125154591848666,1.1429103456610726e-06
0.0005125393705636414,1.5766965027480335e-06
0.0005125622189672644,2.0562497842271358e-06
0.0005125851793939826,2.6021541105635556e-06
0.0005126090147446348,3.2367136694212348e-06
0.0005126322757833955,3.922642222039797e-06
0.0005126546565237682,4.644735343306704e-06
0.0005126786287043884,5.48569623254223e-06
0.0005127000352140435,6.295683358919155e-06
0.0005127202420954201,7.11138121251207e-06
0.0005127408421724929,7.993992809897593e-06
0.0005127646949270928,9.080294799678575e-06
0.0005127886104125012,1.0238774674698795e-05
0.000512811456211029,1.1410244934748715e-05
0.0005128344175355025,1.265136140693138e-05
0.0005128582641921958,1.4007924039528725e-05
0.0005128815237126013,1.5397445416925008e-05
0.0005129039092215329,1.6796577360983814e-05
0.0005129278861348491,1.836234695105115e-05
0.0005129493088949027,1.9820088400270302e-05
0.0005129695130912268,2.1245720244115963e-05
0.0005129900793128117,2.274748559396177e-05
0.0005130139444316296,2.4554041470284857e-05
0.0005130378684907144,2.6433957068517393e-05
0.0005130607160800802,2.8293642951383498e-05
0.0005130836836720637,3.0226364287899503e-05
0.000513107551379869,3.2301988820183653e-05
0.0005131308005138694,3.438961904260983e-05
0.0005131531725927459,3.645972236690657e-05
0.0005131771536932599,3.8745290968399666e-05
0.0005131985924197309,4.084685154195268e-05
0.0005132187850592886,4.287656306352775e-05
0.0005132393181309706,4.4990455188456956e-05
0.0005132632074547663,4.751319681357209e-05
0.0005132871286023078,5.0107502989304355e-05
0.0005133099763379872,5.2649053080869083e-05
0.0005133329433196934,5.526644656465158e-05
0.0005133568389935022,5.8056200679896225e-05
0.0005133800737895477,6.083379715371985e-05
0.0005134024299109743,6.356676054099713e-05
0.0005134264078212255,6.656372816343109e-05
0.0005134478513430124,6.930150285076043e-05
0.0005134680427505042,7.192905134899684e-05
0.00051348855352129,7.464738195303979e-05
0.0005135124313454728,7.787436528458846e-05
0.0005135363492548307,8.117398810846159e-05
0.0005135591799053,8.438627935826744e-05
0.0005135821323931944,8.767732240694403e-05
0.0005136060209759845,9.11680924466245e-05
0.0005136292539618591,9.462703196568448e-05
0.0005136516347779574,9.801866233780199e-05
0.0005136756164208218,0.00010171767376281856
0.0005136970284865583,0.00010507687230631337
0.0005137172558738803,0.00010829909902174066
0.0005137377750735713,0.0001116162879123624
0.0005137616508458801,0.00011553749473928901
0.000513785557823642,0.00011952981700573955
0.0005138083654937101,0.00012339997512720446
0.000513831292609847,0.00012735079504538113
0.0005138551747833436,0.00013153045421725851
0.0005138784040920394,0.0001356585625449828
0.0005139008213270581,0.0001397009096574597
0.0005139248093862014,0.0001440901653068
0.0005139461806565165,0.00014805586827910933
0.0005139664543674825,0.0001518658854270707
0.0005139869947193981,0.00015577363458274787
0.0005140108759146746,0.0001603771827912339
0.00051403478431938,0.00016505056902413627
0.0005140575688364544,0.0001695642349927687
0.0005140804770441851,0.00017416141769012033
0.0005141043542952609,0.00017901589574977156
0.0005141275620856282,0.00018379542118940106
0.0005141500044035643,0.00018847457419975022
0.0005141740005641417,0.00019354000243167142
0.0005141953257274395,0.0001980953926552611
0.0005142156428334649,0.0002024823271670066
0.000514236212070487,0.00020697032986828365
0.0005142601060910726,0.00021224265246413845
0.0005142840153077409,0.00021758130701293792
0.000514306791151859,0.00022272525768491833
0.0005143296874393214,0.00022795390365811988
0.0005143535601490403,0.0002334667318458271
0.0005143767891682142,0.00023889046765042436
0.0005143992456240889,0.0002441896222311209
